Location,Station ID,Category,Amenity,Amenity Location,Name,Distance
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,library,"(39.1006371, -84.5109365)",Mercantile Library,78.66
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1008837, -84.5127421)",McCormick & Schmick's,131.184
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,ice_cream,"(39.1014923, -84.5118525)",Graeter's,0.0
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,cafe,"(39.1000664, -84.5129052)",Starbucks,304.97200000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1032493, -84.5099868)",Izzy’s,365.556
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1007927, -84.5080187)",Skyline Chili,443.51099999999997
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.103277, -84.5088211)",Red Fox Grill,443.452
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,cafe,"(39.1027139, -84.5106791)",Starbucks,370.408
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,cafe,"(39.1007461, -84.5105457)",Kitty’s Coffee,110.65
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,post_office,"(39.1018523, -84.5138595)",United States Post Office,237.32900000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,bank,"(39.10269, -84.5097812)",Cinfed Federal Credit Union,254.978
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.098157, -84.5091698)",Galla Park,495.27500000000003
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1008023, -84.5120515)",Ingredients,106.09099999999998
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1036172, -84.5131858)",Madonna’s Bar & Grill,459.854
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1035148, -84.5137986)",Skyline Chili,417.565
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1009046, -84.5141545)",The Bar at Palm Court,293.49399999999997
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1015708, -84.5151056)",Americano,364.51200000000006
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1011461, -84.5149044)",Mita’s,456.86000000000007
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1024091, -84.5119087)",Bru Burger Bar,441.816
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1025685, -84.511453)",Prime Cincinnati,441.816
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,bar,"(39.1039354, -84.5100858)",Corkopolis,442.469
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1036482, -84.510456)",Crzy Monk,372.818
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1043198, -84.5106674)",Lalo Restaurant,474.021
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.100855, -84.5143692)",Orchid’s at Palm Court,456.86000000000007
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1008807, -84.5142801)",The Grille at Palm Court,456.86000000000007
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.10095, -84.5130975)",Morton's The Steakhouse,148.094
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.0974081, -84.5101335)",Ruth's Chris Steak House,487.163
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,bar,"(39.0992003, -84.5135462)",O'Malley’s in the Alley,492.074
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1004732, -84.5073798)",Restaurant L,443.51099999999997
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1018325, -84.5151463)",Maplewood Kitchen and Bar,379.999
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.103021, -84.5120077)",Metropole,489.039
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1025992, -84.51133)",Mr. Sushi,403.428
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,bar,"(39.1019787, -84.5151776)",Tokyo Kitty,379.999
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,bar,"(39.100223, -84.5124206)",Aster Social Sippery,297.851
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,fast_food,"(39.1006993, -84.5130369)",Subway,187.79699999999997
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,fast_food,"(39.1019407, -84.5129173)",Chipotle,195.767
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,fast_food,"(39.104006, -84.5101034)",Penn Station,442.469
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,restaurant,"(39.1041273, -84.5138771)",Jean-Robert’s Table,470.872
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,bank,"(39.1010969, -84.5114679)",U.S. Bank,20.046999999999997
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,fast_food,"(39.1009709, -84.5111111)",Subway,78.66
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,bank,"(39.1000312, -84.5112041)",KeyBank,146.377
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,amenity,fast_food,"(39.1015237, -84.5117125)",Dunkin',0.0
