Location,Station ID,Category,Amenity,Amenity Location,Name,Distance
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10219531873342, -84.50869437947634)",Columbia Plaza,313.71500000000003
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10237561079389, -84.50949395088031)",John Weld Peck Federal Building,227.442
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10134959140441, -84.50915061497938)",PNC Center,289.62399999999997
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,commercial,"(39.100146444118856, -84.50811531529617)",Atrium Two,409.88700000000006
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.1017022627932, -84.51181752398065)",Fifth Third Center,95.44500000000001
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10064614753051, -84.51094924295384)",Mercantile Library Building,78.66
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.09927239604242, -84.51036831166982)",Scripps Center at 312 Walnut,260.244
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,hotel,"(39.1026076587829, -84.51383284498166)",Cincinnatian Hotel,384.001
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,apartments,"(39.099015844192174, -84.51296621595735)",City Club Apartments,349.902
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.099616944017946, -84.51283675735573)",PNC Tower,275.025
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,commercial,"(39.09966997166403, -84.51223004642723)",One East Fourth Street,328.155
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10002727132122, -84.50980565885708)",Duke Energy Building,275.13300000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,commercial,"(39.10013656753471, -84.50892446233875)",Atrium One,305.177
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,cathedral,"(39.10093692650746, -84.50742703738513)",Christ Church Cathedral,429.6550000000001
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,chapel,"(39.10118545168842, -84.50768845112883)",Centennial Chapel,380.012
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.103219520495884, -84.50976698439776)",,300.92800000000005
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,retail,"(39.102993683791325, -84.511221492564)",Boca,238.39400000000003
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,hotel,"(39.10288907960434, -84.51386989255539)",Cincinnati Enquirer Building,384.001
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,apartments,"(39.1025174572725, -84.51434695680098)",Newberrys,384.001
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10288408486829, -84.51291898648248)",Center at 600 Vine,348.16999999999996
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,retail,"(39.10337924663275, -84.51224461613796)",Nicholson's Tavern & Pub,231.82600000000002
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,retail,"(39.10357049863421, -84.51216510087465)",,231.82600000000002
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,retail,"(39.10366559348935, -84.51245103673202)",,372.45400000000006
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,retail,"(39.10318412193843, -84.51326851572864)",,347.549
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,retail,"(39.10108093300411, -84.51074582577633)",Mercantile Center Atrium,110.65
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,construction,"(39.100202461081196, -84.51252907862211)",,255.94099999999997
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10405769392845, -84.51260666330991)",URS Center,372.45400000000006
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,retail,"(39.10423113701543, -84.51163269956108)",,343.61100000000005
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.1012239035272, -84.5082747760593)",First Financial Center at 255 Fifth,380.012
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10336382676311, -84.51284448957074)",,303.04900000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10078191646911, -84.51327308766761)",Carew Tower,221.825
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,retail,"(39.10218469893591, -84.51237588718352)",,299.322
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,office,"(39.10293064096114, -84.51249675549253)",,303.04900000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,commercial,"(39.10156139530229, -84.51519192380758)",84.51° Centre,364.51200000000006
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,apartments,"(39.09940145470208, -84.51446953789024)",The Reserve at 4th & Race,417.33799999999997
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,apartments,"(39.09986031064672, -84.51515233662278)",Fourth & Race,417.78099999999995
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,building,commercial,"(39.09970844224396, -84.51189987547016)",3 East Fourth,212.04700000000003
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,residential,"(39.1034859, -84.5133717)",The Guild Downtown,417.565
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,construction,"(39.10140429153153, -84.51590683281646)",,474.7130000000001
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,retail,"(39.10322097078441, -84.51096941696578)",,238.39400000000003
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.101913950420894, -84.51066966483349)",,106.762
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.1024404095855, -84.50909348023976)",,442.06100000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.10170003459087, -84.513962660954)",,237.32900000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.10156603361877, -84.51524071966978)",,364.51200000000006
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,residential,"(39.10282937788621, -84.51463533613496)",,468.64500000000004
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.103051962715554, -84.51399220411832)",,347.549
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,residential,"(39.10393250070043, -84.5145045826285)",,498.886
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.10418394260042, -84.51291772852693)",,442.62000000000006
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,residential,"(39.09988503528631, -84.51515364324673)",,417.78099999999995
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,residential,"(39.0993254033557, -84.51500771164878)",,417.78099999999995
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,retail,"(39.10043415731686, -84.5152837448212)",,362.88
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.10044976149634, -84.51363205778624)",,245.90699999999998
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.10060435987478, -84.51198520800492)",,121.21699999999998
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,residential,"(39.09920431865411, -84.51330418805192)",,328.155
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.09944988174053, -84.51171132128589)",,361.015
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.09969451237931, -84.51009430420464)",,388.962
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.09993456759154, -84.50848951318805)",,443.78400000000005
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,retail,"(39.101389434121586, -84.50714020589939)",,380.012
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.101156225546056, -84.50878275982802)",,289.62399999999997
"(39.10139, -84.51164)",bcycle_cincyredbike_2786,landuse,commercial,"(39.100852432522274, -84.51041447418415)",,261.74199999999996
"(39.10435, -84.51894)",bcycle_cincyredbike_2787,building,cathedral,"(39.10344082938514, -84.51954064599803)",Cathedral Basilica of Saint Peter in Chains,167.746
"(39.10435, -84.51894)",bcycle_cincyredbike_2787,building,commercial,"(39.10306095028611, -84.52042305368474)",Jedson Engineering,427.5900000000001
"(39.10435, -84.51894)",bcycle_cincyredbike_2787,building,school,"(39.107297352458176, -84.51716267842733)",Erich Kunzel Center for Arts and Education,423.0570000000001
"(39.10435, -84.51894)",bcycle_cincyredbike_2787,building,office,"(39.10259847370888, -84.5188746492579)",Pure Romance,167.928
